,name,student_body,median_parent_income,median_child_income,cost_of_attendance,pell_aid_per_student,institutional_grant_aid_avg,debt_median,student_income_10_years_median,clusters,cluster
3203,University of Missouri-St Louis,8936.0,103000,48800,22165.0,1332.18,3744.96,14750.0,42900.0,1,pink
3204,University of Mobile,1460.0,77600,31300,31220.0,1867.568,9864.0,20750.0,35200.0,2,purple
3205,The University of Montana,10969.0,82400,34600,18059.0,1780.747,2601.0,12840.5,35500.0,2,purple
3207,The University of Montana-Western,1337.0,59700,32200,14792.0,1721.912,2952.18,10864.0,30400.0,0,light pink
3208,University of Montevallo,2644.0,87700,34900,22440.0,1808.517,3877.92,14426.5,34200.0,2,purple
3209,University of Mount Olive,3258.0,57100,38100,26982.0,1825.324,6241.9,15156.0,39500.0,0,light pink
3210,University of Mount Union,2144.0,83400,44100,38400.0,1266.313,10549.44,23000.0,42900.0,1,pink
3211,University of Nebraska at Kearney,5081.0,89400,45200,19797.0,1321.8570000000002,3349.68,11500.0,41300.0,1,pink
3212,University of Nebraska at Omaha,11989.0,89400,45200,16710.0,1235.629,2378.58,11000.0,44200.0,1,pink
3213,University of Nebraska-Lincoln,19979.0,89400,45200,21286.0,766.2723,2527.42,13573.0,46400.0,1,pink
3214,Nebraska College of Technical Agriculture,242.0,89400,45200,16250.0,1268.233,1167.93,13573.0,46400.0,1,pink
3215,University of Nevada-Reno,16330.0,103500,45900,20675.0,1100.921,1448.54,10000.0,47000.0,1,pink
3216,University of Nevada-Las Vegas,23329.0,90400,41500,17781.0,1314.763,1345.8,10250.0,45000.0,1,pink
3217,University of New England,2217.0,89600,48100,49671.0,954.5821,13452.92,19500.0,46300.0,1,pink
3219,University of New Hampshire-Main Campus,12591.0,109900,49100,29916.0,883.653,5804.88,22250.0,51400.0,1,pink
3220,University of New Hampshire at Manchester,718.0,109900,49100,21862.0,978.3001,1229.6,22250.0,51400.0,1,pink
3221,University of New Haven,4974.0,84900,49800,49390.0,1021.721,13494.6,19500.0,52100.0,1,pink
3222,University of New Mexico-Gallup Campus,1984.0,73900,34900,12527.0,2980.235,686.7,11250.0,36400.0,2,purple
3223,University of New Mexico-Los Alamos Campus,640.0,73900,34900,10939.0,1109.83,338.4,11250.0,36400.0,2,purple
3224,University of New Mexico-Main Campus,20261.0,73900,34900,17401.0,1626.71,2173.21,11250.0,36400.0,2,purple
3225,University of New Mexico-Valencia County Campus,1732.0,73900,34900,11201.0,2684.063,372.6,11250.0,36400.0,2,purple
3226,University of New Mexico-Taos Campus,910.0,73900,34900,14740.0,2151.33,437.5,11250.0,36400.0,2,purple
3227,University of New Orleans,6742.0,66400,36500,16889.0,1289.196,2611.95,9500.0,37800.0,2,purple
3228,University of North Alabama,5485.0,80300,36000,15494.0,1597.37,1452.15,11308.0,37800.0,2,purple
3229,University of North Carolina at Asheville,3425.0,90600,36500,18574.0,1259.011,2106.0,13516.0,34500.0,2,purple
3230,University of North Carolina at Chapel Hill,17908.0,129500,54200,23978.0,855.3525,5737.2,14000.0,55600.0,3,dark purple
3231,University of North Carolina at Charlotte,22120.0,92300,42700,18044.0,1620.0020000000002,1995.78,14983.0,44000.0,1,pink
3232,University of North Carolina at Greensboro,14497.0,88700,36800,18640.0,1800.981,1575.3,14250.0,37500.0,2,purple
3233,University of North Carolina at Pembroke,5303.0,63600,33100,17014.0,2187.409,2456.45,10742.0,34400.0,2,purple
3234,University of North Carolina Wilmington,12686.0,106500,41700,20292.0,1127.458,1304.33,15179.0,41600.0,1,pink
3235,University of North Carolina School of the Arts,852.0,106800,32000,21554.0,1313.4920000000002,3662.41,19500.0,35500.0,1,pink
3236,University of North Dakota,10978.0,90000,49400,20306.0,765.938,1297.92,15000.0,48700.0,1,pink
3237,University of North Florida,13884.0,88900,42400,20102.0,1324.3729999999998,2783.18,11250.0,43200.0,1,pink
3238,University of North Georgia,14976.0,96300,40700,15088.0,1490.38,1041.39,6500.0,41900.0,1,pink
3239,University of North Texas,29758.0,98700,42000,19405.0,1461.865,2008.89,12500.0,45000.0,1,pink
3241,University of Northern Colorado,9104.0,99000,40900,19187.0,1354.406,2193.84,14643.5,42000.0,1,pink
3242,University of Northern Iowa,9882.0,88700,45800,18618.0,977.2737,1720.95,15701.0,44600.0,1,pink
3243,University of Northwestern-St Paul,1945.0,79700,32800,39702.0,1051.902,7161.6,17250.0,38500.0,1,pink
3244,University of Notre Dame,8427.0,165400,78800,60117.0,467.1891,19352.34,20300.0,78400.0,3,dark purple
3246,University of Oklahoma-Norman Campus,20538.0,98500,47200,23384.0,989.8013,2869.26,13650.0,51100.0,1,pink
3247,University of Oregon,20252.0,108700,43700,23055.0,1085.883,2711.5,16500.0,44800.0,1,pink
3248,University of Pennsylvania,10678.0,175300,91800,61800.0,600.2499,18746.63,12018.0,85900.0,3,dark purple
3249,University of Phoenix-Utah,804.0,56000,35200,23712.0,1601.419,145.08,9500.0,47100.0,0,light pink
3250,University of Phoenix-Puerto Rico,307.0,56000,35200,19700.0,1951.807,306.6,9500.0,47100.0,0,light pink
3251,University of Phoenix-New Mexico,1238.0,56000,35200,22806.0,2688.706,587.2,9500.0,47100.0,0,light pink
3252,University of Phoenix-Hawaii,1407.0,56000,35200,23796.0,1623.7910000000002,468.16,9500.0,47100.0,0,light pink
3253,University of Phoenix-Washington,607.0,56000,35200,23426.0,1965.442,475.86,9500.0,47100.0,0,light pink
3254,University of Phoenix-Oregon,496.0,56000,35200,24380.0,2635.141,460.98,9500.0,47100.0,0,light pink
3255,University of Phoenix-Maryland,395.0,56000,35200,23300.0,1497.989,257.95,9500.0,47100.0,0,light pink
3256,University of Phoenix-Ohio,482.0,56000,35200,25094.0,2699.993,564.8,9500.0,47100.0,0,light pink
3257,University of Phoenix-Massachusetts,179.0,56000,35200,23300.0,1238.161,0.0,9500.0,47100.0,0,light pink
3258,University of Phoenix-Wisconsin,284.0,56000,35200,24380.0,2974.188,676.8,9500.0,47100.0,0,light pink
3259,University of Phoenix-Idaho,228.0,56000,35200,23900.0,2703.543,430.55,9500.0,47100.0,0,light pink
3260,University of Phoenix-Illinois,781.0,56000,35200,24052.0,2476.481,387.0,9500.0,47100.0,0,light pink
3261,University of Phoenix-Indiana,275.0,56000,35200,23577.0,3031.712,434.5,9500.0,47100.0,0,light pink
3262,University of Phoenix-New Jersey,371.0,56000,35200,22551.0,2536.805,367.5,9500.0,47100.0,0,light pink
3263,University of Phoenix-Minnesota,132.0,56000,35200,25460.0,2498.663,638.33,9500.0,47100.0,0,light pink
3264,University of Phoenix-Kentucky,184.0,56000,35200,23300.0,2877.706,516.78,9500.0,47100.0,0,light pink
3266,University of Phoenix-South Carolina,487.0,56000,35200,23291.0,2758.438,383.32,9500.0,47100.0,0,light pink
3268,University of Phoenix-Alabama,198.0,56000,35200,23490.0,2959.568,519.82,9500.0,47100.0,0,light pink
3269,University of Phoenix-Washington DC,251.0,56000,35200,23300.0,2230.054,354.41,9500.0,47100.0,0,light pink
3270,University of Phoenix-Mississippi,49.0,56000,35200,23300.0,3879.102,356.89,9500.0,47100.0,0,light pink
3287,University of Pikeville,1329.0,57400,32000,32707.0,2257.653,6872.58,9500.0,31100.0,0,light pink
3288,University of Pittsburgh-Bradford,1466.0,91200,48900,24809.0,1785.015,6076.56,21000.0,53900.0,1,pink
3289,University of Pittsburgh-Greensburg,1578.0,91200,48900,23352.0,1973.239,4789.29,21000.0,53900.0,1,pink
3290,University of Pittsburgh-Johnstown,2864.0,91200,48900,24609.0,1159.58,2655.12,21000.0,53900.0,1,pink
3291,University of Pittsburgh-Pittsburgh Campus,18474.0,91200,48900,31828.0,654.8398,5803.29,21000.0,53900.0,1,pink
3292,University of Pittsburgh-Titusville,367.0,91200,48900,23724.0,2106.807,2969.31,21000.0,53900.0,1,pink
3293,University of Portland,3648.0,117600,56100,51947.0,909.6966,18536.4,22000.0,58800.0,3,dark purple
3294,University of Puget Sound,2550.0,129700,51400,55948.0,840.14,17191.66,21765.0,52700.0,3,dark purple
3295,University of Redlands,3710.0,108400,47700,57347.0,1040.135,17482.14,21750.0,55000.0,1,pink
3296,University of Rhode Island,13205.0,105900,53400,26452.0,1080.815,5935.04,16750.0,52900.0,1,pink
3297,University of Richmond,3223.0,180600,69600,57535.0,772.5891,26209.92,18848.5,64500.0,3,dark purple
3298,University of Rio Grande,1329.0,60300,27900,32760.0,2748.1290000000004,2749.5,9500.0,33900.0,0,light pink
3299,University of Rochester,6074.0,129200,62000,61340.0,779.5172,21106.17,23000.0,61200.0,3,dark purple
3300,University of Saint Francis-Fort Wayne,1796.0,83700,38600,32377.0,1546.099,8999.76,17750.0,40400.0,1,pink
3301,University of St Francis,1732.0,91600,48500,36919.0,1328.832,13950.0,19025.0,53100.0,1,pink
3302,University of Saint Joseph,930.0,86600,45800,46088.0,1497.249,12455.8,22800.0,52800.0,1,pink
3303,University of St Thomas,1563.0,90600,48600,38726.0,1410.7979999999998,8965.88,15750.0,49600.0,1,pink
3304,University of St Thomas,6080.0,122900,57400,47616.0,785.1577,13500.81,21500.0,56800.0,3,dark purple
3305,University of San Diego,5656.0,139300,61200,57593.0,720.4006,13760.46,19500.0,60000.0,3,dark purple
3306,University of San Francisco,6745.0,106900,56900,58039.0,1110.601,11495.4,21197.5,62300.0,1,pink
