,median_graduate_income,median_parent_income
759,41700.0,57800
760,80200.0,95200
761,35400.0,42600
762,35400.0,76900
763,44300.0,76600
764,44300.0,76600
765,34000.0,48000
766,46300.0,88900
767,47100.0,87300
768,55600.0,98100
769,41700.0,80500
770,22700.0,43400
771,22700.0,43400
772,22700.0,43400
773,22700.0,43400
774,22700.0,43400
775,22700.0,43400
776,22700.0,43400
777,22700.0,43400
778,22700.0,43400
779,22700.0,43400
780,24200.0,93600
781,42800.0,71500
782,58300.0,109600
783,52700.0,140400
784,32200.0,74400
785,84400.0,196000
786,52800.0,89100
787,58500.0,104000
788,28800.0,59700
789,32900.0,82900
790,27300.0,55200
791,42700.0,63100
792,35000.0,99100
793,22700.0,36100
794,40500.0,96000
795,28600.0,68000
796,28700.0,41600
797,31500.0,57600
798,24900.0,44900
799,44600.0,85700
800,35100.0,75600
801,40500.0,72500
802,29200.0,60900
803,21700.0,29300
804,21700.0,29300
805,46400.0,94900
806,29300.0,65300
807,25700.0,58100
808,26200.0,59900
809,42200.0,100100
810,29400.0,75600
811,36100.0,69700
812,40300.0,90700
813,39300.0,98400
814,42300.0,81600
815,29500.0,47200
816,29500.0,47200
817,29500.0,47200
818,28100.0,45500
819,41200.0,74600
820,24300.0,35800
821,42500.0,93900
822,43100.0,85900
823,28500.0,54500
824,42200.0,113100
825,34600.0,53100
826,34600.0,53100
827,34600.0,53100
828,34600.0,53100
829,34600.0,53100
830,34600.0,53100
831,34600.0,53100
832,34600.0,53100
833,34600.0,53100
834,34600.0,53100
835,34600.0,53100
836,34600.0,53100
837,34600.0,53100
838,34600.0,53100
839,34600.0,53100
840,25200.0,53100
841,25100.0,32500
842,43300.0,93300
843,35400.0,74800
844,34700.0,61100
845,37600.0,84300
846,31800.0,51600
847,31800.0,51600
848,26500.0,29200
849,27600.0,47200
850,32300.0,91700
851,30400.0,37400
852,51300.0,98100
853,51300.0,98100
854,48300.0,100200
855,45900.0,91400
856,51900.0,146000
857,66200.0,92400
858,66200.0,92400
859,66200.0,92400
860,46600.0,120500
861,23900.0,50200
862,49700.0,93400
863,33600.0,67500
864,40700.0,84000
865,66000.0,175700
866,18500.0,55300
867,18500.0,55300
868,18500.0,55300
869,18500.0,55300
